0.0,-8.9085335e-14
0.01,0.0003066913
0.02,0.0006141066
0.03,0.00092261244
0.04,0.0012318376
0.05,0.0015456483
0.06,0.0018596643
0.07,0.0021804397
0.08,0.002505925
0.09,0.0028358377
0.1,0.0031755776
0.11,0.0035137942
0.12,0.003868137
0.13,0.0042276997
0.14,0.0046020225
0.15,0.0049843136
0.16,0.0053771394
0.17,0.0057843565
0.18,0.0062101805
0.19,0.006649588
0.2,0.0071189087
0.21,0.00759759
0.22,0.0081083365
0.23,0.008647997
0.24,0.009222822
0.25,0.009819547
0.26,0.010467265
0.27,0.011162477
0.28,0.011930443
0.29,0.01274222
0.3,0.013649492
0.31,0.014649677
0.32,0.015750565
0.33,0.017027808
0.34,0.018470244
0.35,0.020191994
0.36,0.022308746
0.37,0.02501506
0.38,0.02879065
0.39,0.03511003
0.4,0.053706255
0.41,0.035980098
0.42,0.030403676
0.43,0.027534142
0.44,0.025369734
0.45,0.023995562
0.46,0.022892332
0.47,0.022204889
0.48,0.021502366
0.49,0.020543328
0.5,0.019790743
0.51,0.019015545
0.52,0.018004688
0.53,0.01738642
0.54,0.016082779
0.55,0.015008719
0.56,0.013422621
0.57,0.0115069235
0.58,0.009194676
0.59,0.005812439
0.6,0.0010268653
0.61,-0.004304916
0.62,-0.00812514
0.63,-0.0106302295
0.64,-0.013696032
0.65,-0.015782744
0.66,-0.018291917
0.67,-0.020337902
0.68,-0.02227416
0.69,-0.02351245
0.7,-0.024896104
0.71,-0.02655348
0.72,-0.027586715
0.73,-0.028784202
0.74,-0.029237213
0.75,-0.030201666
0.76,-0.030818013
0.77,-0.031571016
0.78,-0.031798758
0.79,-0.032659087
0.8,-0.032355558
0.81,-0.032776568
0.82,-0.0326403
0.83,-0.032670237
0.84,nan
0.85,-0.03206884
0.86,-0.03182468
0.87,-0.031106643
0.88,-0.030758444
0.89,-0.03011567
0.9,-0.029249037
0.91,-0.028661933
0.92,-0.027748672
0.93,-0.026900262
0.94,-0.025965242
0.95,-0.025007445
0.96,-0.023993976
0.97,-0.023002004
0.98,-0.021993952
0.99,-0.021041216
