0.0,3.067968e-05
0.01,3.069426e-05
0.02,3.0746676e-05
0.03,3.0924308e-05
0.04,3.11425e-05
0.05,3.1446896e-05
0.06,3.1756368e-05
0.07,3.221304e-05
0.08,3.2695345e-05
0.09,3.329853e-05
0.1,3.3967906e-05
0.11,3.471347e-05
0.12,3.5578574e-05
0.13,3.652614e-05
0.14,3.759809e-05
0.15,3.8796312e-05
0.16,4.0165134e-05
0.17,nan
0.18,4.3330605e-05
0.19,4.526155e-05
0.2,4.7322326e-05
0.21,4.96655e-05
0.22,5.231235e-05
0.23,5.5399814e-05
0.24,nan
0.25,6.2730214e-05
0.26,6.724733e-05
0.27,7.244504e-05
0.28,7.8567e-05
0.29,8.587042e-05
0.3,9.443277e-05
0.31,0.00010514878
0.32,0.00011844962
0.33,0.00013540979
0.34,0.00015796752
0.35,0.00018922257
0.36,0.00023558515
0.37,0.00031188334
0.38,0.0004634722
0.39,0.00090943143
0.4,0.013663797
0.41,0.026711017
0.42,0.027267823
0.43,0.02802494
0.44,0.028457431
0.45,0.029192384
0.46,0.029789299
0.47,0.030704638
0.48,0.031631898
0.49,0.03305311
0.5,0.03453823
0.51,0.0358455
0.52,0.037333146
0.53,0.03896093
0.54,0.040941875
0.55,0.042697486
0.56,0.045303077
0.57,0.04705043
0.58,0.04962976
0.59,0.051764574
0.6,0.054155875
0.61,0.05307877
0.62,0.05155631
0.63,0.050573446
0.64,0.048933122
0.65,0.047297984
0.66,0.045509726
0.67,0.043975633
0.68,0.042463712
0.69,0.04077186
0.7,0.03904095
0.71,0.037364908
0.72,0.03591998
0.73,0.033964172
0.74,0.03201949
0.75,0.03051277
0.76,0.027923763
0.77,0.026754215
0.78,0.02517341
0.79,0.023306195
0.8,0.021500822
0.81,0.020073654
0.82,0.018070422
0.83,0.016325321
0.84,0.015005717
0.85,0.013220305
0.86,0.011928662
0.87,0.010489101
0.88,0.0090674
0.89,0.0076729776
0.9,0.006563893
0.91,0.005418281
0.92,0.0044155787
0.93,0.003447239
0.94,0.0026240335
0.95,0.0018792896
0.96,0.001240986
0.97,0.0007613788
0.98,0.00039016185
0.99,0.00016861092
